"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","1 X 20 CONTAINERS CONTAINING 1200 BAGS OF LAVA","","12780","12.78","240000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","2 X 40 CONTAINERS CONTAINING 2000 DRUMS OF JACARE","","48268","48.27","905000"
"2021-01-31","Upl Do Brasil Ind E Com De Insumos Agropecuarios Sa","Weihai Hanfu Biochemical Medicine Co., Ltd.","SHANGHAI","SANTOS","29189912","2 X 20 CONTAINERS CONTAINING 80 BAGS OF 2,4-D TECNICO UPL","","40284","40.28","262000"
"2021-01-31","Syngenta Protecao De Cultivos Ltda","Shanghai Freemen","SHANGHAI","SANTOS","29313912","8 X 40 CONTAINERS CONTAINING 240 BAGS OF GLYPHOSATE TECH. 95% MIN. (PMG TECNICO","","192720","192.72","926000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","7 X 40 CONTAINERS CONTAINING 7200 DRUMS OF ARTYS","","173371.99","173.37","3251000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Hunan Zhongrun Bio Technology Co., Ltd.","SHANGHAI","SANTOS","29309061","6 X 40 CONTAINERS CONTAINING 240 BAGS OF ACEPHATE 98% TC","","151140","151.14","1277000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE NG 7000 H BG","","110160","110.16","7656000"
"2021-01-31","Albaugh Agro Brasil Ltda","African Amines (Pty) Ltd.","DURBAN","SANTOS","29211121","6 X 20´SHIPPER OWNED ISO TANK BULK DIMETHYLAMINE 60%","","110180","110.18","1492000"
"2021-01-31","Fmc Quimica Do Brasil Ltda","Shanghai Phoenix International Logistics Co., Ltd.","SHANGHAI","SANTOS","29349939","1 X 20 CONTAINERS CONTAINING 68 DRUMS OF CLOMAZONE TECHNICAL HERBICIDE)","","16911","16.91","12805000"
"2021-01-30","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Upl Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","38089191","1 X 40 CONTAINERS CONTAINING 960 BOXES OF PERITO 970 SG INGREDIENTE ATIVO: ACEFATO WSP IN CFB","","22250","22.25","303000"
"2021-01-30","Dow Brasil Sudeste Industrial Ltda","Dsv Transport & Logistics Co.","ANTWERPEN","SANTOS","00330000","1 X 20 CONTAINERS CONTAINING 226 CARTONS OF DOWSIL(TM) CONSTRUCTION PRIMER P500 ML 9X9X14 BOTTLE, 4,CARTON FLAMMABLE LIQUID DOWSIL(TM) 7091 ADHESIVE SEALANT GREY20 L PAIL DOWSIL(TM) DS-2025 SILICONE CLEANING SOLVENT0.5 L BOTTLE CORROSIVE LIQUID, ACIDIC, DOWSIL(TM) 7091 ADHESIVE SEALANT GREY20 L PAIL XIAMETER(TM) AFE-0310 ANTIFOAM EMULSION500 ML BOTTLE DOWSIL(TM) 7091 ADHESIVE SEALANT BLACK250 DOWSIL(TM) 7091 ADHESIVE SEALANT BLACK310 ML 20X15X25 CARTRIDGE DOWSIL(TM) 7091 ADHESIVE SEALANT BLACK250 DOWSIL(TM) 340 HEAT SINK COMPOUND60 DOWSIL(TM) VM-2270 AEROGEL FINE PARTICLES10","","3462","3.46",""
"2021-01-30","Valfilm Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","4 X 40 CONTAINERS CONTAINING 3960 BAGS OF DOWLEX TM POLYETHYLENE RESIN","","100484","100.48","108000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","ROTTERDAM","SANTOS","29242943","4 X 20 CONTAINERS CONTAINING 4 TANK OF S METOLACHLOR ENVIRONMENTALLY HAZARDOUS SUBSTANCE CLASS 9","","100120","100.12","1434000"
"2021-01-30","Lubrizol Do Brasil Aditivos Ltda","Dow","ANTWERPEN","RIO DE JANEIRO","38240000","1 X 20 CONTAINERS CONTAINING 1 TANK OF HEAVY POLYAMINE X BULK AMINES, LIQUID, CORROSIVE, N.O.S. PENTAETHYLENEHEXAMINE, POLYETHYLENEPOLYAMINES","","20020","20.02",""
"2021-01-30","Valfilm Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","4 X 40 & 1 X 40 CONTAINERS CONTAINING 4950 BAGS OF LLDPE POLYETHYLENE RESIN","","125605","125.61","136000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","ROTTERDAM","SANTOS","29335939","2 X 40 CONTAINERS CONTAINING 36 PALLET OF PIRIMIPHOS-METHYL","","32258","32.26","1901000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Bayer","NHAVA SHEVA (JAWAHARLAL N","SANTOS","29269023","1 X 20 CONTAINERS CONTAINING 12 DRUMS OF CYPERMETHRIN TECHNICAL CYPERMETHRIN (SG) TC","","2785","2.79","40800"
"2021-01-30","Valfilm Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","5 X 40 CONTAINERS CONTAINING 4950 BAGS OF LLDPE P:OLYETHYLENE RESIN","","125605","125.61","136000"
"2021-01-30","Dow Brasil Sudeste Industrial Ltda","Dow Group","AHLEN","SANTOS","39090000","1 X 20 CONTAINERS CONTAINING 18 OF SPECFLEX TM NE 134 ISOCYANATE DA","","19080","19.08","80500"
